caprile,castellani,8,11
caprile,castellani,7,11
caprile,castellani,9,11
castellani,caprile,8,11
zontini,scaglia,11,5
zontini,tronza,11,5
zontini,scaglia,11,5
castellani,devigili,6,11
zontini,devigili,11,9
castellani,zontini,11,9
castellani,devigili,2,11
devigili,zontini,11,6
caprile,castellani,11,3
caprile,castellani,9,11
caprile,castellani,11,7
caprile,zontini,11,4
caprile,zontini,11,8
castellani,zontini,11,9
castellani,zontini,10,12
castellani,zontini,11,8
castellani,zontini,7,11
castellani,zontini,11,9
castellani,zontini,11,6
caprile,castellani,11,4
caprile,castellani,13,11
caprile,castellani,7,11
caprile,castellani,11,7
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,10,12
castellani,caprile,10,12
castellani,caprile,8,11
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,11,9
castellani,caprile,9,11
castellani,caprile,7,11
castellani,zontini,12,10
castellani,zontini,9,11
castellani,zontini,11,9
castellani,caprile,7,11
caprile,zontini,11,5
castellani,caprile,6,11
caprile,zontini,13,11
castellani,caprile,7,11
castellani,caprile,12,14
castellani,caprile,11,8
castellani,caprile,11,9
castellani,caprile,11,9
castellani,caprile,12,10
castellani,zontini,9,11
castellani,zontini,11,8
castellani,zontini,9,11
caprile,castellani,8,11
caprile,castellani,7,11
caprile,castellani,9,11
castellani,caprile,8,11
zontini,scaglia,11,5
zontini,tronza,11,5
zontini,scaglia,11,5
castellani,devigili,6,11
zontini,devigili,11,9
castellani,zontini,11,9
castellani,devigili,2,11
devigili,zontini,11,6
caprile,castellani,11,3
caprile,castellani,9,11
caprile,castellani,11,7
caprile,zontini,11,4
caprile,zontini,11,8
castellani,zontini,11,9
castellani,zontini,10,12
castellani,zontini,11,8
castellani,zontini,7,11
castellani,zontini,11,9
castellani,zontini,11,6
caprile,castellani,11,4
caprile,castellani,13,11
caprile,castellani,7,11
caprile,castellani,11,7
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,10,12
castellani,caprile,10,12
castellani,caprile,8,11
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,11,9
castellani,caprile,9,11
castellani,caprile,7,11
castellani,zontini,12,10
castellani,zontini,9,11
castellani,zontini,11,9
castellani,caprile,7,11
caprile,zontini,11,5
castellani,caprile,6,11
caprile,zontini,13,11
castellani,caprile,7,11
castellani,caprile,12,14
castellani,caprile,11,8
castellani,caprile,11,9
castellani,caprile,11,9
castellani,caprile,12,10
castellani,zontini,9,11
castellani,zontini,11,8
castellani,zontini,9,11
caprile,castellani,8,11
caprile,castellani,7,11
caprile,castellani,9,11
castellani,caprile,8,11
zontini,scaglia,11,5
zontini,tronza,11,5
zontini,scaglia,11,5
castellani,devigili,6,11
zontini,devigili,11,9
castellani,zontini,11,9
castellani,devigili,2,11
devigili,zontini,11,6
caprile,castellani,11,3
caprile,castellani,9,11
caprile,castellani,11,7
caprile,zontini,11,4
caprile,zontini,11,8
castellani,zontini,11,9
castellani,zontini,10,12
castellani,zontini,11,8
castellani,zontini,7,11
castellani,zontini,11,9
castellani,zontini,11,6
caprile,castellani,11,4
caprile,castellani,13,11
caprile,castellani,7,11
caprile,castellani,11,7
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,10,12
castellani,caprile,10,12
castellani,caprile,8,11
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,11,9
castellani,caprile,9,11
castellani,caprile,7,11
castellani,zontini,12,10
castellani,zontini,9,11
castellani,zontini,11,9
castellani,caprile,7,11
caprile,zontini,11,5
castellani,caprile,6,11
caprile,zontini,13,11
castellani,caprile,7,11
castellani,caprile,12,14
castellani,caprile,11,8
castellani,caprile,11,9
castellani,caprile,11,9
castellani,caprile,12,10
castellani,zontini,9,11
castellani,zontini,11,8
castellani,zontini,9,11
caprile,castellani,8,11
caprile,castellani,7,11
caprile,castellani,9,11
castellani,caprile,8,11
zontini,scaglia,11,5
zontini,tronza,11,5
zontini,scaglia,11,5
castellani,devigili,6,11
zontini,devigili,11,9
castellani,zontini,11,9
castellani,devigili,2,11
devigili,zontini,11,6
caprile,castellani,11,3
caprile,castellani,9,11
caprile,castellani,11,7
caprile,zontini,11,4
caprile,zontini,11,8
castellani,zontini,11,9
castellani,zontini,10,12
castellani,zontini,11,8
castellani,zontini,7,11
castellani,zontini,11,9
castellani,zontini,11,6
caprile,castellani,11,4
caprile,castellani,13,11
caprile,castellani,7,11
caprile,castellani,11,7
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,10,12
castellani,caprile,10,12
castellani,caprile,8,11
castellani,caprile,8,11
castellani,caprile,7,11
castellani,caprile,11,9
castellani,caprile,9,11
castellani,caprile,7,11
castellani,zontini,12,10
castellani,zontini,9,11
castellani,zontini,11,9
castellani,caprile,7,11
caprile,zontini,11,5
castellani,caprile,6,11
caprile,zontini,13,11
castellani,caprile,7,11
castellani,caprile,12,14
castellani,caprile,11,8
castellani,caprile,11,9
castellani,caprile,11,9
castellani,caprile,12,10
castellani,zontini,9,11
castellani,zontini,11,8
castellani,zontini,9,11
caprile,castellani,8,11
caprile,castellani,7,11
caprile,castellani,9,11
castellani,caprile,8,11
zontini,scaglia,11,5
zontini,tronza,11,5
zontini,scaglia,11,5
castellani,devigili,6,11
zontini,devigili,11,9
castellani,zontini,11,9
castellani,devigili,2,11
devigili,zontini,11,6
caprile,castellani,11,3
caprile,castellani,9,11
caprile,castellani,11,7
caprile,zontini,11,4
caprile,zontini,11,8
castellani,zontini,11,9
